#
# * Generated by profiles_gen on Wed Nov 14 16:29:07 PST 2012
#
#           INPUT FILE : D3D_iterdb_kinefit_128913.01500
#          SHOT NUMBER : 128913
#    RADIAL GRIDPOINTS :  51
#               Q_EDGE :  1.03E+01
#
#                 IONS :  d c
# 
#         SIGN(PSI_POL): +
# 
# * An associated input.profiles.geo was also generated
#
#             NFOURIER :      8
#            GATO NPSI :    101
#          GATO NTHETA :    201
#            EFIT HEADER ... 
#
#   EFIT?   05/12/98      #128913  1500             3  65  65          
#
# Psi-shrinkage factor : -1.00E-04
# * Additional information:
#
#      MERGED CER FILE : dplasma_cer_format.128913.1500
#  PLASMA MAJOR RADIUS : 1.66E+00 m
#  PLASMA MINOR RADIUS : 5.99E-01 m
#
# 
N_EXP=51
BT_EXP=+2.0657000E+00
ARHO_EXP=7.7241000E-01
# 
#rho(-)          rmin(m)         rmaj(m)         q(-)            kappa(-)        
 1.5930835E-01   6.0288000E-01   1.7846000E+00   1.3370000E+00  -2.5188600E+04
 1.6687262E-01   5.5898000E-01   1.7505000E+00   1.3367000E+00  -2.3926600E+04
 1.7495297E-01   5.1602000E-01   1.7169000E+00   1.3361000E+00  -2.2710800E+04
 1.8361677E-01   4.7410000E-01   1.6836000E+00   1.3352000E+00  -2.1537000E+04
 1.9296518E-01   4.3334000E-01   1.6502000E+00   1.3339000E+00  -2.0396300E+04
 2.0310181E-01   3.9381000E-01   1.6164000E+00   1.3320000E+00  -1.9284200E+04
 2.1392425E-01   3.5564000E-01   1.5821000E+00   1.3294000E+00  -1.8196700E+04
 2.2568466E-01   3.1890000E-01   1.5470000E+00   1.3258000E+00  -1.7129800E+04
 2.3866069E-01   2.8372000E-01   1.5107000E+00   1.3211000E+00  -1.6078400E+04
 2.5293675E-01   2.5018000E-01   1.4731000E+00   1.3150000E+00  -1.5037900E+04
 2.6849519E-01   2.1839000E-01   1.4338000E+00   1.3072000E+00  -1.4002300E+04
 2.8619796E-01   1.8836000E-01   1.3926000E+00   1.2974000E+00  -1.2969400E+04
 3.0579407E-01   1.5987000E-01   1.3492000E+00   1.2851000E+00  -1.1931300E+04
 3.2838944E-01   1.3267000E-01   1.3033000E+00   1.2700000E+00  -1.0877200E+04
 3.5396127E-01   1.0650000E-01   1.2500000E+00   1.2524000E+00  -9.7988600E+03
 3.8431717E-01   8.1105000E-02   1.1659000E+00   1.2368000E+00  -8.6977000E+03
 4.2297758E-01   5.6222000E-02   1.0230000E+00   1.2293000E+00  -7.5297000E+03
 4.6826431E-01   3.1597000E-02   8.1842000E-01   1.2348000E+00  -6.3495800E+03
# 
#flow_mom(N-m)   pow_e(MW)       pow_i(MW)       pow_ei(MW)      zeta(-)         
 0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   5.0827602E-04
 4.7788506E-03   1.5825789E-03   3.4472260E-03   2.3790473E-04   5.3619698E-04
 1.9062277E-02   6.3310801E-03   1.3748753E-02   9.4933097E-04   5.9947341E-04
 4.2531110E-02   1.4180137E-02   3.0664886E-02   2.1297440E-03   4.5843282E-04
 7.4631006E-02   2.4983920E-02   5.3734059E-02   3.7734213E-03   1.1273609E-04
 1.1462257E-01   3.8542301E-02   8.2339492E-02   5.8722097E-03  -1.6106670E-04
 1.6157274E-01   5.4614962E-02   1.1575328E-01   8.4160095E-03  -2.8157736E-04
 2.1448190E-01   7.2966391E-02   1.5321059E-01   1.1392429E-02  -3.4147064E-04
 2.7230617E-01   9.3379132E-02   1.9393111E-01   1.4785124E-02  -4.7628076E-04
 3.3403531E-01   1.1565940E-01   2.3715814E-01   1.8573316E-02  -6.3151572E-04
 3.9888805E-01   1.3969645E-01   2.8228878E-01   2.2740917E-02  -7.5699028E-04
 4.6605689E-01   1.6539474E-01   3.2871901E-01   2.7261903E-02  -8.6353576E-04
 5.3485913E-01   1.9273888E-01   3.7594686E-01   3.2109452E-02  -9.8195117E-04
 6.0478543E-01   2.2177261E-01   4.2354095E-01   3.7253151E-02  -1.1078603E-03
 6.7546151E-01   2.5256038E-01   4.7110173E-01   4.2655299E-02  -1.2524965E-03
 7.4667808E-01   2.8524955E-01   5.1837410E-01   4.8284904E-02  -1.4302730E-03
 8.1805701E-01   3.1992250E-01   5.6504314E-01   5.4096386E-02  -1.6364545E-03
 8.8926785E-01   3.5664910E-01   6.1084155E-01   6.0042818E-02  -1.8543720E-03
 9.5995141E-01   3.9544756E-01   6.5550779E-01   6.6072381E-02  -2.1098678E-03
 1.0297004E+00   4.3625351E-01   6.9875559E-01   7.2124185E-02  -2.4143571E-03
